,Title,Date,URL
115,Berlusconi: “Non sono renziano  Forza Italia resta all’opposizione”  E punta su Salvini e Meloni,2014-10-26,https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2014/10/26/berlusconi-non-sono-renziano-forza-italia-resta-allopposizione-e-punta-su-salvini-e-meloni12.html&hl=&query=berlusconi&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search
116,"Berlusconi, sfogo negli spogliatoi con Pippo Inzaghi: troppo difensivismo",2014-10-28,https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2014/10/28/berlusconi-sfogo-negli-spogliatoi-con-pippo-inzaghi-troppo-difensivismo56.html&hl=&query=berlusconi&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search
117,"Milan, Inzaghi: ""Berlusconi trascinante, ma le scelte le faccio io""",2014-10-28,http://www.repubblica.it/sport/calcio/serie-a/milan/2014/10/28/news/milan_inzaghi_ce_la_possiamo_giocare_con_tutti_berlusconi_e_contento_-99212159/?ref=search
118,La voce di Berlusconi  Inzaghi cambia idea e Torres parte titolare,2014-10-29,https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2014/10/29/la-voce-di-berlusconi-inzaghi-cambia-idea-e-torres-parte-titolare52.html&hl=&query=berlusconi&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search
119,"De Gregorio: ""Da me e Berlusconi strategia della 'guerriglia urbana' contro Prodi""",2014-10-29,http://www.repubblica.it/politica/2014/10/29/news/de_gregorio_berlusconi_per_far_cadere_prodi_ide_strategia_della_guerriglia_urbana_-99267208/?ref=search
120,“Contro il governo Prodi atti di guerriglia urbana decisi da Berlusconi”,2014-10-30,https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2014/10/30/contro-il-governo-prodi-atti-di-guerriglia-urbana-decisi-da-berlusconi10.html&hl=&query=berlusconi&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search
121,De Gregorio: così  Silvio mi comprò,2014-10-30,https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2014/10/30/de-gregorio-cosi-silvio-mi-comproNapoli01.html&hl=&query=berlusconi&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search
122,"Mediolanum, un trust per Berlusconi",2014-10-30,https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2014/10/30/mediolanum-un-trust-per-berlusconi24.html&hl=&query=berlusconi&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search
123,"Berlusconi chiude alla fusione con Telecom: ""Meglio un'alleanza per la pay tv""",2014-10-30,http://www.repubblica.it/economia/2014/10/30/news/telecom_mediaset_berlusconi-99354681/?ref=search
124,"Il caso de Magistris agita Fi. I fedelissimi di Berlusconi: ""Due pesi e due misure""",2014-10-30,http://www.repubblica.it/politica/2014/10/30/news/il_caso_de_magistris_agita_forza_italia_i_fedelissimi_di_berlusconi_due_pesi_e_due_misure-99383176/?ref=search
125,De Magistris torna sindaco legge Severino alla Consulta  Fi: “Reintegrate Berlusconi”,2014-10-31,https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2014/10/31/de-magistris-torna-sindaco-legge-severino-alla-consulta-fi-reintegrate-berlusconi10.html&hl=&query=berlusconi&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search
126,Pier Silvio Berlusconi: “Sì a Mediaset-Telecom ma solo sulla pay-tv non diventeremo soci”,2014-10-31,https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2014/10/31/pier-silvio-berlusconi-si-a-mediaset-telecom-ma-solo-sulla-pay-tv-non-diventeremo-soci30.html&hl=&query=berlusconi&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search
127,E adesso spera anche Berlusconi,2014-10-31,https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2014/10/31/e-adesso-spera-anche-berlusconi01.html&hl=&query=berlusconi&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search
128,E ADESSO SPERA  ANCHE BERLUSCONI,2014-10-31,https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2014/10/31/e-adesso-spera-anche-berlusconi37.html&hl=&query=berlusconi&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search
129,E Silvio cerca la rivincita “Per me questa è una chance la Ue ne dovrà tenere conto”,2014-10-31,https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2014/10/31/e-silvio-cerca-la-rivincita-per-me-questa-e-una-chance-la-ue-ne-dovra-tenere-conto10.html&hl=&query=berlusconi&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search
130,De Magistris torna sindaco legge Severino alla Consulta  Fi: “Reintegrate Berlusconi”,2014-10-31,https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2014/10/31/de-magistris-torna-sindaco-legge-severino-alla-consulta-fi-reintegrate-berlusconi1310.html&hl=&query=berlusconi&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search
131,"Milan, Berlusconi: ""Per Inzaghi voto 8, alla squadra do 7""",2014-10-31,http://www.repubblica.it/sport/calcio/serie-a/milan/2014/10/31/news/milan_menez_punta_la_champions_sarebbe_un_peccato_non_andarci_-99444620/?ref=search
132,"RNews, Luzi: Berlusconi, ruolo chiave per il partito della nazione",2014-10-31,http://video.repubblica.it/rubriche/rnews/rnews-luzi-berlusconi-ruolo-chiave-per-il-partito-della-nazione/182021/180824?ref=search
133,Forza Italia: Berlusconi torni senatore  De Magistris: ma sono due casi diversi,2014-11-01,https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2014/11/01/forza-italia-berlusconi-torni-senatore-de-magistris-ma-sono-due-casi-diversi12.html&hl=&query=berlusconi&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search
134,"Milan, Inzaghi: ''Berlusconi? Spero mi dia un bel voto a fine anno''",2014-11-01,http://www.repubblica.it/sport/calcio/serie-a/milan/2014/11/01/news/milan_inzaghi_il_palermo_ci_fara_soffrire_-99514655/?ref=search
135,La legge Severino cambia ma il governo dice no a norme pro-Berlusconi,2014-11-02,https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2014/11/02/la-legge-severino-cambia-ma-il-governo-dice-no-a-norme-pro-berlusconi01.html&hl=&query=berlusconi&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search
136,"Legge Severino, Berlusconi: ""Giustizia prevalga"". Tesauro a parlamentari: intervenite voi",2014-11-03,http://www.repubblica.it/politica/2014/11/03/news/berlusconi_severino-99628008/?ref=search
137,Silvio vuol tenere in ostaggio l’Italicum “Darò l’ok solo se torno candidabile”,2014-11-04,https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2014/11/04/silvio-vuol-tenere-in-ostaggio-litalicum-daro-lok-solo-se-torno-candidabile1006.html&hl=&query=berlusconi&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search
138,Silvio vuol tenere in ostaggio l’Italicum “Darò l’ok solo se torno candidabile”,2014-11-04,https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2014/11/04/silvio-vuol-tenere-in-ostaggio-litalicum-daro-lok-solo-se-torno-candidabile06.html&hl=&query=berlusconi&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search
139,"Consulta, Fi silura Sandulli aveva criticato Berlusconi la candidata ora è Ferraioli",2014-11-04,https://quotidiano.repubblica.it/edicola/searchdetail?id=http://archivio.repubblica.extra.kataweb.it/archivio/repubblica/2014/11/04/consulta-fi-silura-sandulli-aveva-criticato-berlusconi-la-candidata-ora-e-ferraioli08.html&hl=&query=berlusconi&field=nel+testo&testata=repubblica&newspaper=REP&edition=nazionale&zona=sfoglio&ref=search
140,"Fiorello a Ballarò: ""Renzi è figlio illegittimo di Berlusconi""",2014-11-04,http://video.repubblica.it/spettacoli-e-cultura/fiorello-a-ballaro-renzi-e-figlio-illegittimo-di-berlusconi/182355/181171?ref=search
