,Year,Word,Frequency,Category
237,1991,ultimatum,1,sentiment
238,1991,vertice,1,business
239,1991,riapre,1,verb
240,1992,tv,10,other
241,1992,cinq,5,business
242,1992,re,4,sentiment
243,1992,channel,4,business
244,1992,esame,2,other
245,1992,leonardo,2,person
246,1992,segrate,2,location
247,1992,mgm,2,business
248,1992,accordo,2,politics
249,1992,stranieri,2,other
250,1992,inglese,2,location
251,1992,fronte,2,other
252,1992,mercato,2,other
253,1992,decide,2,verb
254,1992,regole,2,other
255,1992,punta,2,person
256,1992,sale,2,verb
257,1992,five,2,business
258,1992,editori,2,business
259,1992,vetrina,2,other
260,1992,paolo,2,person
261,1992,venezia,2,location
262,1992,guerra,2,person
263,1992,rai,2,business
264,1992,carnevale,2,other
265,1992,rinascente,2,business
266,1992,battezzare,1,verb
267,1992,salva,1,verb
268,1992,opzione,1,other
269,1992,esalta,1,verb
270,1993,tv,8,other
271,1993,rai,4,business
272,1993,paolo,3,person
273,1993,vende,3,verb
274,1993,piazza,3,other
275,1993,editore,3,business
276,1993,lega,3,politics
277,1993,solo,3,sentiment
278,1993,partito,3,sentiment
279,1993,gs,2,business
280,1993,guai,2,sentiment
281,1993,ministro,2,person
282,1993,milano,2,other
283,1993,affari,2,business
284,1993,grande,2,verb
285,1993,cecchi,2,person
286,1993,gori,2,person
287,1993,borsa,2,business
288,1993,spot,2,business
289,1993,caccia,2,verb
290,1993,consiglio,2,politics
291,1993,giro,2,other
292,1993,processo,2,legal
293,1993,tangenti,2,legal
294,1993,grazie,2,sentiment
295,1993,replica,2,verb
296,1993,chiama,2,person
297,1993,politici,2,politics
298,1993,uomo,2,other
299,1993,craxi,2,person
300,1994,tv,23,other
301,1994,bossi,16,person
302,1994,rai,12,business
303,1994,governo,12,politics
304,1994,solo,11,sentiment
305,1994,paolo,11,person
306,1994,fini,10,person
307,1994,prima,10,other
308,1994,premier,9,politics
309,1994,giudici,9,other
310,1994,sara,9,person
311,1994,scalfaro,9,person
312,1994,milan,8,business
313,1994,pietro,8,person
314,1994,lega,7,politics
315,1994,an,7,person
316,1994,parla,6,other
317,1994,craxi,6,person
318,1994,roma,6,other
319,1994,fininvest,6,business
320,1994,pool,6,legal
321,1994,miglio,5,other
322,1994,gia,5,other
323,1994,incontro,5,person
324,1994,sfida,5,sentiment
325,1994,caro,5,sentiment
326,1994,ultima,5,politics
327,1994,basta,5,sentiment
328,1994,parola,5,other
329,1994,rischia,5,
330,1995,fini,12,person
331,1995,prodi,10,person
332,1995,dini,9,person
333,1995,pool,8,legal
334,1995,polo,7,person
335,1995,alema,7,person
336,1995,patto,6,sentiment
337,1995,voto,6,politics
338,1995,scalfaro,5,person
339,1995,paolo,5,person
340,1995,rocco,5,person
341,1995,tv,5,other
342,1995,pds,5,politics
343,1995,ppi,4,politics
344,1995,miliardi,4,other
345,1995,biagi,4,person
346,1995,torna,4,sentiment
347,1995,elezioni,4,politics
348,1995,solo,4,sentiment
349,1995,leader,4,sentiment
350,1995,giudici,4,other
351,1995,accusa,3,legal
352,1995,disse,3,verb
353,1995,addio,3,politics
354,1995,pietro,3,person
355,1995,gia,3,other
356,1995,spot,3,business
357,1995,attacca,3,sentiment
358,1995,guerra,3,person
359,1995,bossi,3,person
360,1996,fini,16,person
361,1996,processo,12,legal
362,1996,tv,12,other
363,1996,alema,11,person
364,1996,massimo,7,person
365,1996,polo,6,person
366,1996,milan,6,business
367,1996,tabarez,6,person
368,1996,accordo,5,politics
369,1996,prodi,5,person
370,1996,utri,5,person
371,1996,costituente,5,politics
372,1996,riforme,5,politics
373,1996,pietro,4,person
